************* Module sfclient
E:4503, 0: invalid syntax (syntax-error)
************* Module sflegacy
W: 19, 0: TODO: obsolete (fixme)
W: 33, 0: TODO: obsolete (fixme)
W: 46, 0: TODO: obsolete (fixme)
W: 61, 0: TODO: obsolete (fixme)
W: 84, 0: TODO WTF? (fixme)
W:105, 0: TODO: better way to zero fill? (fixme)
W:290, 0: TODO: Obsolete (fixme)
C:106, 0: Unnecessary parens after u'while' keyword (superfluous-parens)
C:144, 0: Line too long (85/80) (line-too-long)
E: 21,13: Undefined variable 'savegame' (undefined-variable)
E: 21,22: Undefined variable 'SG' (undefined-variable)
E: 22,15: Undefined variable 'savegame' (undefined-variable)
E: 22,24: Undefined variable 'SG' (undefined-variable)
E: 23,11: Undefined variable 'LBL' (undefined-variable)
E: 35,12: Undefined variable 'Quest' (undefined-variable)
E: 35,36: Undefined variable 'savegame' (undefined-variable)
E: 48,12: Undefined variable 'Quest' (undefined-variable)
E: 48,36: Undefined variable 'savegame' (undefined-variable)
E: 63,12: Undefined variable 'Quest' (undefined-variable)
E: 63,36: Undefined variable 'savegame' (undefined-variable)
E: 71,13: Undefined variable 'URLLoader' (undefined-variable)
E: 72,14: Undefined variable 'URLLoader' (undefined-variable)
E: 75,22: Undefined variable 'URLLoaderdata_format' (undefined-variable)
E: 76, 8: Undefined variable 'add_event_listener' (undefined-variable)
E: 76,27: Undefined variable 'Event' (undefined-variable)
E: 76,43: Undefined variable 'configuration_file_loaded' (undefined-variable)
E: 77, 8: Undefined variable 'load' (undefined-variable)
E: 77,13: Undefined variable 'URLRequest' (undefined-variable)
E: 80,22: Undefined variable 'URLLoaderdata_format' (undefined-variable)
E: 81, 8: Undefined variable 'add_event_listener' (undefined-variable)
E: 81,27: Undefined variable 'Event' (undefined-variable)
E: 81,43: Undefined variable 'configuration_file_loaded' (undefined-variable)
E: 83, 4: Undefined variable 'pending_loaders' (undefined-variable)
W: 83, 4: Unused variable 'pending_loaders' (unused-variable)
W: 85, 4: Unused variable 'pending_configuration_files' (unused-variable)
W: 75, 8: Unused variable 'data_format' (unused-variable)
R: 89, 0: Too many local variables (37/15) (too-many-locals)
E: 98,36: Undefined variable 'SG' (undefined-variable)
E:100,13: Undefined variable 'SG' (undefined-variable)
E:103,14: Instance of 'int' has no 'tostr' member (no-member)
E:103,27: Undefined variable 'SG' (undefined-variable)
E:117,17: Undefined variable 'SG' (undefined-variable)
E:119,17: Undefined variable 'SG' (undefined-variable)
E:121,17: Undefined variable 'SG' (undefined-variable)
E:121,41: Undefined variable 'content_max' (undefined-variable)
E:122,17: Undefined variable 'SG' (undefined-variable)
E:122,32: Undefined variable 'content_max' (undefined-variable)
E:124,19: Undefined variable 'SG' (undefined-variable)
E:125, 8: Undefined variable 'expand_item_structure' (undefined-variable)
E:126,22: Undefined variable 'SG' (undefined-variable)
E:126,51: Undefined variable 'SG' (undefined-variable)
E:129,19: Undefined variable 'SG' (undefined-variable)
E:130, 8: Undefined variable 'expand_item_structure' (undefined-variable)
E:131,23: Undefined variable 'SG' (undefined-variable)
E:131,53: Undefined variable 'SG' (undefined-variable)
E:135, 8: Undefined variable 'expand_item_structure' (undefined-variable)
E:136,22: Undefined variable 'SG' (undefined-variable)
E:136,50: Undefined variable 'SG' (undefined-variable)
E:138, 8: Undefined variable 'expand_item_structure' (undefined-variable)
E:139,22: Undefined variable 'SG' (undefined-variable)
E:139,50: Undefined variable 'SG' (undefined-variable)
E:143, 8: Undefined variable 'expand_item_structure' (undefined-variable)
E:144,23: Undefined variable 'SG' (undefined-variable)
E:144,66: Undefined variable 'SG' (undefined-variable)
E:151, 8: Using variable 'last_level' before assignment (used-before-assignment)
E:151,43: Undefined variable 'SG' (undefined-variable)
E:155,30: Undefined variable 'SG' (undefined-variable)
E:157,30: Undefined variable 'server' (undefined-variable)
E:158,28: Undefined variable 'SG' (undefined-variable)
E:160,11: Undefined variable 'old_ach' (undefined-variable)
E:162,15: Undefined variable 'ach_level' (undefined-variable)
E:162,40: Undefined variable 'old_ach' (undefined-variable)
E:163,16: Undefined variable 'old_ach' (undefined-variable)
E:163,34: Undefined variable 'ach_level' (undefined-variable)
E:165,16: Undefined variable 'old_ach' (undefined-variable)
E:165,29: Undefined variable 'ach_level' (undefined-variable)
E:168,12: Undefined variable 'old_ach' (undefined-variable)
E:168,25: Undefined variable 'ach_level' (undefined-variable)
E:170, 8: Using variable 'old_album' before assignment (used-before-assignment)
E:170,38: Undefined variable 'SG' (undefined-variable)
E:172,25: Undefined variable 'SG' (undefined-variable)
E:175,29: Undefined variable 'SG' (undefined-variable)
E:176,30: Undefined variable 'SG' (undefined-variable)
E:177,30: Undefined variable 'SG' (undefined-variable)
E:178,30: Undefined variable 'SG' (undefined-variable)
E:179,30: Undefined variable 'SG' (undefined-variable)
E:180,29: Undefined variable 'SG' (undefined-variable)
E:181,29: Undefined variable 'SG' (undefined-variable)
E:182,30: Undefined variable 'SG' (undefined-variable)
E:183,29: Undefined variable 'SG' (undefined-variable)
E:184,29: Undefined variable 'SG' (undefined-variable)
E:185,32: Undefined variable 'SG' (undefined-variable)
E:186,33: Undefined variable 'SG' (undefined-variable)
E:196,11: Undefined variable 'text_dir' (undefined-variable)
E:197,12: Undefined variable 'actor' (undefined-variable)
E:197,18: Undefined variable 'IF' (undefined-variable)
E:197,34: Undefined variable 'IF' (undefined-variable)
E:199,17: Undefined variable 'actor' (undefined-variable)
E:199,23: Undefined variable 'LBL' (undefined-variable)
E:200,40: Undefined variable 'SG' (undefined-variable)
C:201,16: Invalid variable name "x" (invalid-name)
E:201,20: Undefined variable 'IF' (undefined-variable)
E:201,47: Undefined variable 'textWidth' (undefined-variable)
E:202,12: Undefined variable 'actor' (undefined-variable)
E:202,18: Undefined variable 'IF' (undefined-variable)
E:202,36: Undefined variable 'actor' (undefined-variable)
E:202,42: Undefined variable 'LBL' (undefined-variable)
E:202,65: Undefined variable 'width' (undefined-variable)
E:204,18: Undefined variable 'actor' (undefined-variable)
E:204,24: Undefined variable 'LBL' (undefined-variable)
E:205,32: Undefined variable 'SG_GOLD' (undefined-variable)
E:209,41: Undefined variable 'SG' (undefined-variable)
C:210,16: Invalid variable name "x" (invalid-name)
E:210,20: Undefined variable 'actor' (undefined-variable)
E:210,26: Undefined variable 'IF' (undefined-variable)
E:210,44: Undefined variable 'textWidth' (undefined-variable)
E:212,17: Undefined variable 'actor' (undefined-variable)
E:212,23: Undefined variable 'LBL' (undefined-variable)
E:213,32: Undefined variable 'SG' (undefined-variable)
C:214,16: Invalid variable name "x" (invalid-name)
E:214,20: Undefined variable 'IF' (undefined-variable)
E:214,50: Undefined variable 'textWidth' (undefined-variable)
E:216,15: Undefined variable 'texts' (undefined-variable)
E:216,21: Undefined variable 'TXT' (undefined-variable)
E:217,16: Undefined variable 'enable_popup' (undefined-variable)
E:218,20: Undefined variable 'LBL' (undefined-variable)
E:219,20: Undefined variable 'texts' (undefined-variable)
E:219,26: Undefined variable 'TXT' (undefined-variable)
E:220,39: Undefined variable 'SG' (undefined-variable)
E:224,18: Undefined variable 'actor' (undefined-variable)
E:224,24: Undefined variable 'LBL' (undefined-variable)
E:225,32: Undefined variable 'SG_GOLD' (undefined-variable)
E:229,41: Undefined variable 'SG' (undefined-variable)
C:230,16: Invalid variable name "x" (invalid-name)
E:230,20: Undefined variable 'actor' (undefined-variable)
E:230,26: Undefined variable 'IF' (undefined-variable)
E:230,44: Undefined variable 'textWidth' (undefined-variable)
E:232,12: Undefined variable 'actor' (undefined-variable)
E:232,18: Undefined variable 'IF' (undefined-variable)
E:232,34: Undefined variable 'actor' (undefined-variable)
E:232,40: Undefined variable 'LBL' (undefined-variable)
E:234,17: Undefined variable 'actor' (undefined-variable)
E:234,23: Undefined variable 'LBL' (undefined-variable)
E:235,40: Undefined variable 'SG' (undefined-variable)
C:236,16: Invalid variable name "x" (invalid-name)
E:236,20: Undefined variable 'actor' (undefined-variable)
E:236,26: Undefined variable 'IF' (undefined-variable)
E:236,42: Undefined variable 'textWidth' (undefined-variable)
E:238,17: Undefined variable 'actor' (undefined-variable)
E:238,23: Undefined variable 'LBL' (undefined-variable)
E:239,32: Undefined variable 'SG' (undefined-variable)
C:240,16: Invalid variable name "x" (invalid-name)
E:240,20: Undefined variable 'IF' (undefined-variable)
E:240,50: Undefined variable 'textWidth' (undefined-variable)
E:242,15: Undefined variable 'texts' (undefined-variable)
E:242,21: Undefined variable 'TXT' (undefined-variable)
E:243,16: Undefined variable 'enable_popup' (undefined-variable)
E:244,20: Undefined variable 'LBL' (undefined-variable)
E:245,20: Undefined variable 'texts' (undefined-variable)
E:245,26: Undefined variable 'TXT' (undefined-variable)
E:246,39: Undefined variable 'SG' (undefined-variable)
E:250, 4: Undefined variable 'add' (undefined-variable)
E:250, 8: Undefined variable 'IF' (undefined-variable)
E:251,20: Undefined variable 'SG' (undefined-variable)
E:252, 8: Undefined variable 'server_time' (undefined-variable)
E:253,32: Undefined variable 'SG' (undefined-variable)
E:255,21: Undefined variable 'datetime' (undefined-variable)
